Date,Open,High,Low,Close,Adj,Volume,Currency
"Aug 6, 2021",1.000077,1.000436,0.999979,1.000382,1.000382,"69,278,482,398",USDT-USD
"Aug 5, 2021",1.000125,1.000492,0.999657,1.000097,1.000097,"67,359,787,062",USDT-USD
"Aug 4, 2021",1.000289,1.000397,0.999780,1.000094,1.000094,"55,269,578,265",USDT-USD
"Aug 3, 2021",1.000576,1.000746,0.999950,1.000304,1.000304,"53,595,668,066",USDT-USD
"Aug 2, 2021",1.000393,1.000720,0.999969,1.000540,1.000540,"51,732,217,398",USDT-USD
"Aug 1, 2021",1.000449,1.000720,0.999896,1.000341,1.000341,"56,095,370,226",USDT-USD
"Jul 31, 2021",1.000385,1.000854,0.999930,1.000272,1.000272,"51,394,668,827",USDT-USD
"Jul 30, 2021",1.000299,1.001223,0.999894,1.000283,1.000283,"58,525,027,371",USDT-USD
"Jul 29, 2021",1.000073,1.000951,0.999904,1.000278,1.000278,"49,910,679,856",USDT-USD
"Jul 28, 2021",1.000085,1.000652,0.999834,1.000117,1.000117,"64,211,172,842",USDT-USD
"Jul 27, 2021",1.000104,1.000702,0.999939,1.000132,1.000132,"67,906,963,431",USDT-USD
"Jul 26, 2021",1.000184,1.000742,0.999764,1.000254,1.000254,"92,450,192,578",USDT-USD
"Jul 25, 2021",1.000692,1.000780,0.999206,1.000163,1.000163,"45,864,253,744",USDT-USD
"Jul 24, 2021",1.000295,1.001125,1.000034,1.000698,1.000698,"51,306,998,692",USDT-USD
"Jul 23, 2021",1.000265,1.000803,0.999858,1.000326,1.000326,"48,879,632,451",USDT-USD
"Jul 22, 2021",1.000208,1.000624,0.999699,1.000217,1.000217,"45,353,041,839",USDT-USD
"Jul 21, 2021",1.000292,1.000466,0.999811,1.000266,1.000266,"57,772,259,331",USDT-USD
"Jul 20, 2021",1.000111,1.000527,1.000005,1.000297,1.000297,"45,790,527,475",USDT-USD
"Jul 19, 2021",1.000645,1.000700,0.999872,1.000093,1.000093,"40,152,920,396",USDT-USD
"Jul 18, 2021",1.000558,1.000769,0.999563,1.000621,1.000621,"36,385,511,871",USDT-USD
"Jul 17, 2021",1.000366,1.000908,1.000040,1.000552,1.000552,"39,163,445,316",USDT-USD
"Jul 16, 2021",0.999954,1.000489,0.999947,1.000373,1.000373,"45,730,099,926",USDT-USD
"Jul 15, 2021",1.000124,1.000411,0.999812,0.999947,0.999947,"45,208,496,773",USDT-USD
"Jul 14, 2021",1.000020,1.000762,0.999881,1.000135,1.000135,"45,371,034,562",USDT-USD
"Jul 13, 2021",1.000360,1.000904,0.999879,0.999900,0.999900,"40,689,021,551",USDT-USD
"Jul 12, 2021",1.000234,1.000820,0.999925,1.000271,1.000271,"40,963,905,755",USDT-USD
"Jul 11, 2021",1.000051,1.001093,0.999919,1.000225,1.000225,"33,700,882,503",USDT-USD
"Jul 10, 2021",0.999733,1.000535,0.999461,0.999980,0.999980,"39,811,881,630",USDT-USD
"Jul 9, 2021",0.999897,1.000134,0.999500,0.999639,0.999639,"48,513,127,150",USDT-USD
"Jul 8, 2021",1.000628,1.001404,0.999698,0.999900,0.999900,"54,546,974,469",USDT-USD
"Jul 7, 2021",1.000022,1.000792,0.999772,1.000708,1.000708,"50,370,827,531",USDT-USD
"Jul 6, 2021",1.000728,1.000879,0.999825,1.000090,1.000090,"51,054,194,253",USDT-USD
"Jul 5, 2021",0.999426,1.001040,0.999426,1.000667,1.000667,"47,215,849,676",USDT-USD
"Jul 4, 2021",0.999987,1.000165,0.998902,0.999501,0.999501,"43,066,655,708",USDT-USD
"Jul 3, 2021",1.000046,1.000674,0.999914,0.999956,0.999956,"41,194,990,425",USDT-USD
"Jul 2, 2021",1.000301,1.000830,0.999991,1.000033,1.000033,"45,626,594,041",USDT-USD
"Jul 1, 2021",1.000201,1.000640,0.999997,1.000226,1.000226,"54,577,458,289",USDT-USD
"Jun 30, 2021",1.000053,1.000634,0.999706,1.000216,1.000216,"62,591,206,838",USDT-USD
"Jun 29, 2021",0.999951,1.000811,0.999901,1.000024,1.000024,"64,868,482,234",USDT-USD
"Jun 28, 2021",1.000689,1.000803,0.999883,0.999928,0.999928,"56,773,812,735",USDT-USD
"Jun 27, 2021",1.001260,1.002000,1.000524,1.000642,1.000642,"53,158,745,469",USDT-USD
"Jun 26, 2021",0.999855,1.001321,0.999686,1.001214,1.001214,"60,323,833,680",USDT-USD
"Jun 25, 2021",1.000093,1.000583,0.998953,0.999845,0.999845,"66,436,810,480",USDT-USD
"Jun 24, 2021",1.000726,1.000984,0.999908,1.000149,1.000149,"54,635,236,494",USDT-USD
"Jun 23, 2021",1.000962,1.001142,1.000390,1.000746,1.000746,"78,451,207,170",USDT-USD
"Jun 22, 2021",1.000156,1.001777,0.999896,1.001002,1.001002,"101,175,206,595",USDT-USD
"Jun 21, 2021",1.000914,1.001782,0.999953,1.000089,1.000089,"90,616,591,970",USDT-USD
"Jun 20, 2021",1.001548,1.001612,1.000348,1.000875,1.000875,"57,176,763,747",USDT-USD
"Jun 19, 2021",1.001646,1.001996,1.000382,1.001451,1.001451,"48,324,762,375",USDT-USD
"Jun 18, 2021",1.000704,1.002000,0.999879,1.001749,1.001749,"58,250,506,049",USDT-USD
